dd_Smed_v6_9_0_1	dd_Smed_v6_9_0_1	EST: AY066454.1 |  clone HB.3.7f unknown mRNA sequence
dd_Smed_v6_99_0_1	dd_Smed_v6_99_0_1	EST: AY967627.1 |  clone NBE.5.02C mRNA sequence
dd_Smed_v6_9993_0_1	dd_Smed_v6_9993_0_1	mRNA: JQ425138.1 |  SZ12-1 mRNA - complete cds& JQ425138.1 |  SZ12-1 mRNA - complete cds
dd_Smed_v6_9990_0_1	dd_Smed_v6_9990_0_1	mRNA: KT163755.1 |  NPHP1 (NPHP1) mRNA - complete cds
dd_Smed_v6_998_0_1	dd_Smed_v6_998_0_1	EST: AY066207.1 |  clone H.58.12g unknown mRNA sequence
dd_Smed_v6_9988_0_1	dd_Smed_v6_9988_0_1	mRNA: KP409164.1 |  SET1 mRNA - complete cds&EST: JX010587.1 |  clone Smed_13944_V2 SET domain-1 mRNA - complete cds& JX010587.1 |  clone Smed_13944_V2 SET domain-1 mRNA - complete cds
dd_Smed_v6_9985_0_1	dd_Smed_v6_9985_0_1	mRNA: KY348672.1 |  hypothetical protein Smed-ndk-2 mRNA - partial cds
dd_Smed_v6_9977_0_1	dd_Smed_v6_9977_0_1	mRNA: KT163782.1 |  PKD2L-2 (PKD2L-2) mRNA - complete cds
dd_Smed_v6_9956_0_1	dd_Smed_v6_9956_0_1	EST: AY066852.1 |  clone H.99.2d(T3) unknown mRNA sequence& AY066577.1 |  clone H.104.2h unknown mRNA sequence
dd_Smed_v6_9952_0_1	dd_Smed_v6_9952_0_1	mRNA: GQ337487.1 |  KIF27-like protein mRNA - partial cds&EST: AY067748.1 |  clone H.109.8e(T3) unknown mRNA sequence
dd_Smed_v6_9947_0_1	dd_Smed_v6_9947_0_1	EST: AY068711.1 |  clone H.111.3d unknown mRNA sequence
dd_Smed_v6_9945_0_1	dd_Smed_v6_9945_0_1	mRNA: KU852680.1 |  protein associated with Myc (PAM) mRNA - partial cds&EST: JX010487.1 |  clone Smed_01947_V2 E3 ubiquitin protein ligase-1 mRNA - complete cds
dd_Smed_v6_9936_0_1	dd_Smed_v6_9936_0_1	EST: AY068247.1 |  clone H.25.7h(T3) unknown mRNA sequence
dd_Smed_v6_991_0_1	dd_Smed_v6_991_0_1	EST: AY067841.1 |  clone HB.1.9d unknown mRNA sequence
dd_Smed_v6_9914_0_1	dd_Smed_v6_9914_0_1	mRNA: KJ451755.1 |  semaphorin 5-3 (sema5-3) mRNA - partial cds
dd_Smed_v6_9910_0_1	dd_Smed_v6_9910_0_1	mRNA: KX827244.1 |  GATA456-2 mRNA - complete cds
dd_Smed_v6_9906_0_1	dd_Smed_v6_9906_0_1	mRNA: KF487120.1 |  neuroD-2 protein (neuroD-2) mRNA - partial cds
dd_Smed_v6_9905_0_1	dd_Smed_v6_9905_0_1	EST: JX010490.1 |  clone Smed_05722_V2 SPRY domain containing SOCS box protein-1 mRNA - complete cds
dd_Smed_v6_9904_0_1	dd_Smed_v6_9904_0_1	mRNA: KT163613.1 |  slc24a-2 (slc24a-2) mRNA - complete cds&EST: AY066164.1 |  clone H.8.4d unknown mRNA sequence
dd_Smed_v6_9896_0_1	dd_Smed_v6_9896_0_1	EST: AY066531.1 |  clone H.84.2d(T3) unknown mRNA sequence
dd_Smed_v6_9893_0_1	dd_Smed_v6_9893_0_1	mRNA: KF487109.1 |  coe protein (coe) mRNA - partial cds
dd_Smed_v6_986_0_1	dd_Smed_v6_986_0_1	mRNA: KM981929.1 |  heterogeneous nuclear ribonucleoprotein A1 A2/B1 mRNA - partial cds&EST: AY067241.1 |  clone H.60.3h unknown mRNA sequence
